tic,predicted_return,trade_date
SUN.1,0.02580331,19950901
VLO,0.037615087,19950901
WMB,0.044407119,19950901
XTO,0.03298574,19950901
AL.1,0.0651297,19950901
AR.2,0.076874524,19950901
ARG,0.055429543,19950901
ASH,0.057436556,19950901
AVY,0.055181585,19950901
CEM.2,0.048961699,19950901
EC.2,0.050041427,19950901
LPX,0.043865258,19950901
ROH,0.054652908,19950901
SIAL,0.040782032,19950901
VMC,0.039538425,19950901
WRK,0.052548111,19950901
AME,0.0589576,19950901
ANV.1,0.052041127,19950901
AOS,0.046428745,19950901
APCC.,0.055946379,19950901
CAR,0.047739938,19950901
CSE.3,0.05456668,19950901
DE,0.049379918,19950901
DOV,0.048218792,19950901
FLS,0.05385276,19950901
ITW,0.048924455,19950901
JH,0.049423977,19950901
MTW,0.059055211,19950901
NL,0.049405613,19950901
NSI.1,0.050695514,19950901
PH,0.052596259,19950901
RTN,0.046386175,19950901
SNA,0.050165455,19950901
TXT,0.047620644,19950901
WM,0.052628531,19950901
ATGE,0.07646975,19950901
AZO,0.064821657,19950901
BBY,0.170499997,19950901
BIG,0.103982251,19950901
C.3,0.073112904,19950901
CCTYQ,0.13465383,19950901
CTX.2,0.071771454,19950901
FJCC,0.123093478,19950901
FLTWQ,0.093182872,19950901
HDLM,0.141396652,19950901
HOT,0.082263422,19950901
IGT.1,0.06544567,19950901
KBH,0.077631423,19950901
LUB,0.082716121,19950901
MST.,0.063898015,19950901
PETM,0.073865434,19950901
PHM,0.071822471,19950901
ROST,0.068560853,19950901
SKY,0.064624976,19950901
SPW.2,0.105696677,19950901
TGT,0.106928502,19950901
TMC,0.068699338,19950901
VO.3,0.121522467,19950901
WEN.2,0.081041868,19950901
ACV.1,0.026640176,19950901
AVP,0.04706506,19950901
BF.B,0.036414766,19950901
G.1,0.031498707,19950901
NGH.2,0.029963589,19950901
OAT.,0.041140268,19950901
PAS,0.02851205,19950901
PHB.1,0.049102234,19950901
RAD,0.026762975,19950901
RAL.,0.028523195,19950901
UST.1,0.063323574,19950901
BEV,0.069332787,19950901
BGEN,0.120620299,19950901
CHIR,0.199109484,19950901
COO,0.155703773,19950901
CVH,0.066481657,19950901
HCR,0.061029625,19950901
HLS,0.066130874,19950901
HUM,0.06501817,19950901
MCK,0.061710957,19950901
THC,0.068538764,19950901
THY,0.066943223,19950901
UHS,0.061456912,19950901
UNH,0.063226278,19950901
WLP.1,0.067836807,19950901
AHM.1,0.048137364,19950901
BSC.1,0.052198435,19950901
C2,0.073691013,19950901
CB,0.072492842,19950901
CFL.1,0.038977208,19950901
CINF,0.042564375,19950901
FG.1,0.037605426,19950901
GWF.,0.038364814,19950901
LEHMQ,0.067442549,19950901
LM,0.037687725,19950901
MBI,0.055232426,19950901
MTG,0.043207001,19950901
NCC,0.044283151,19950901
NFB,0.040806717,19950901
PWJ.,0.059683106,19950901
TROW,0.049829152,19950901
UPC.,0.036911999,19950901
USH.1,0.036494627,19950901
WAMUQ,0.040612351,19950901
AMD,0.132318759,19950901
AMH.1,0.165196082,19950901
CSCO,0.096681515,19950901
DEC.1,0.110535385,19950901
DGN.,0.174687046,19950901
EA,0.093668439,19950901
EMC,0.10070009,19950901
GIC.3,0.087620472,19950901
GTW,0.091530093,19950901
IAC,0.107358605,19950901
JBL,0.107996011,19950901
MGI,0.094519489,19950901
NOVL,0.093526697,19950901
ORCL,0.092442363,19950901
SFA.1,0.094953692,19950901
TDM.,0.119413348,19950901
UIS,0.123812738,19950901
VTSS,0.107133494,19950901
ATI.1,0.090800534,19950901
FRO.1,0.059178933,19950901
MCIC.,0.068848545,19950901
AES,0.022633901,19950901
EFU.1,0.032668973,19950901
ETR,0.031248221,19950901
NI2,0.040812528,19950901
NMK,0.032200888,19950901
PCG,0.016143217,19950901
PGL.1,0.032167897,19950901
PGN3,0.023418802,19950901
SRE,0.016265617,19950901
AIV,0.066267112,19950901
ESS,0.06967544,19950901
HCN,0.077902392,19950901
HST,0.078931052,19950901
PCH,0.074436446,19950901
CHK,0.093351118,19951201
DNR,0.043030529,19951201
DVN,0.045393849,19951201
